FUNCTIONAL_GROUP_NAME,GROUP_NAME,SERVICE_TAG,PARENT_SERVICE_TAG,HOSTNAME,ADMIN_MAC,ADMIN_IP,BMC_MAC,BMC_IP,IB_NIC_NAME,IB_IP
service_kube_control_plane_x86_64,grp4,DBNL4G3,,kcp1,bc:97:e1:f0:9d:b0,10.60.0.102,b0:7b:25:d4:1e:84,100.10.1.97,,
service_kube_control_plane_x86_64,grp3,2LYZ933,,kcp2,bc:97:e1:24:9f:10,10.60.0.101,f4:02:70:db:d0:2a,10.60.0.16,,
service_kube_control_plane_x86_64,grp3,FN8MN34,,kcp3,d4:04:e6:6f:d9:20,10.60.0.103,c4:cb:e1:ca:26:5c,100.10.1.96,,
service_kube_node_x86_64,grp5,GN8MN34,,knode1,d4:04:e6:6f:e2:10,10.60.0.104,c4:cb:e1:ca:27:d0,10.60.0.10,,
service_kube_node_x86_64,grp5,9Y9T033,,knode2,f4:02:70:fb:ab:7e,10.60.0.105,f4:02:70:fb:ab:78,100.10.1.161,,
