"Parameter	",Mandatory/Optional,Details
telemetry_bridges > ``vector_ome`` > ``metrics_enabled``,Optional,"* **Type**: Boolean
* Enable or disable Vector-OME metrics routing (Kafka-to-Victoria bridge for OME metrics)
* **Data flow**: Kafka 'ome.*' topics → Vector-OME → vmagent-vector (metrics)
* **Requires**: OME to be configured with kafka
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``true``"
telemetry_bridges > ``vector_ome`` > ``logs_enabled``,Optional,"* **Type**: Boolean
* Enable or disable Vector-OME logs routing
* **Data flow**: Kafka 'ome.*' topics → Vector-OME → vlagent-vector (logs)
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``true``"
telemetry_bridges > ``vector_ome`` > ``ome_identifier``,Optional,"* Identifier used by Vector-OME for topic identification and routing
* Internally used to match topics with the prefix (e.g., ``^ome\\..*$``)
* **Type**: String
* **minLength**: 1
* **Default value**: ``ome``
* **Note**: Change only if your OME Kafka topics use a different prefix"
telemetry_sinks > ``victoria_metrics`` > ``persistence_size``,Conditional Mandatory,"* Storage per vmstorage pod PVC
* **Important: Total VictoriaMetrics storage depends on deployment mode:**
    * ``Single-node mode``: Total storage = ``persistence_size * 1 pod``
    * ``Cluster mode``: Total storage = ``persistence_size * 3 vmstorage pods``
* **Example (cluster)**: ``8Gi * 3 = 24Gi`` total VictoriaMetrics storage
* **Accepted values**: Must be specified in the form of ``X[Ki|Mi|Gi|Ti|Pi|Ei]``
* **Default value**: ``8Gi`` (results in **24Gi total storage** for cluster mode)"
telemetry_sinks > ``victoria_metrics`` > ``retention_period``,Conditional Mandatory,"* Metric retention period in hours
* **Default**: 168 (7 days)"
telemetry_sinks > ``victoria_metrics`` > ``additional_metric_remote_write_endpoints``,Optional,"* Additional remote write endpoints for metrics (optional)
* **Purpose**: Send metrics to external VictoriaMetrics instances in addition to Omnia-managed VictoriaMetrics
* **Format**: List of endpoint objects with 'url' field (must start with http:// or https://)
* **TLS**: Set 'tls_insecure_skip_verify: true' to skip TLS certificate verification
* **Default**: [] (empty — only Omnia VictoriaMetrics receives metrics)
* **Example**:
  - url: https://external-metrics-server:8480/insert/0/prometheus/api/v1/write
    tls_insecure_skip_verify: false"
telemetry_sinks > ``victoria_logs`` > ``storage_size``,Conditional Mandatory,"* Storage per vlstorage pod PVC
* **Total storage = storage_size × 3 vlstorage pods**
* **Accepted values**: Must be specified in the form of ``X[Ki|Mi|Gi|Ti|Pi|Ei]``
* **Default value**: ``8Gi`` (results in **24Gi total storage**)
* **Sizing formula**: (140 MB/day × retention_days × node_count) / 3 replicas
.. warning:: Storage under-provisioning can lead to data loss before the retention period is reached. Calculate storage requirements based on expected log volume and retention needs."
telemetry_sinks > ``victoria_logs`` > ``retention_period``,Conditional Mandatory,"* Log retention period in hours
* **Type**: Integer (hours)
* **Accepted values**: 24-8760 (1 day to 1 year)
* **Default**: 168 (7 days)
* **Note**: Retention is global and applies to all log streams uniformly. Deletion occurs asynchronously during background merge operations.
.. note:: VictoriaLogs does not return an error when log entries with timestamps outside the configured retention window are submitted. Log entries will be automatically removed from VictoriaLogs after the retention period."
telemetry_sinks > ``victoria_logs`` > ``additional_log_write_endpoints``,Optional,"* Additional remote write endpoints for logs (optional)
* **Purpose**: Send logs to external VictoriaLogs instances in addition to Omnia-managed VictoriaLogs
* **Format**: List of endpoint objects with 'url' field (must start with http:// or https://)
* **TLS**: Set 'tls_insecure_skip_verify: true' to skip TLS certificate verification
* **Default**: [] (empty — only Omnia VictoriaLogs receives logs)
* **Example**:
  - url: https://external-logs-server:9481/internal/insert
    tls_insecure_skip_verify: false"
telemetry_sinks > ``kafka`` > ``persistence_size``,Conditional Mandatory,"* Storage per Kafka pod PVC
* **Total = persistence_size × 6 pods (3 brokers + 3 controllers)**
* **Accepted values**: Must be specified in the form of ``X[Ki|Mi|Gi|Ti|Pi|Ei]``
* **Default value**: ``8Gi`` (results in **48Gi total storage**)
* The default ``8Gi`` size is suitable for small clusters (typically fewer than 5 nodes). For larger clusters, you should increase the ``persistence_size`` and adjust ``log_retention_hours`` and ``log_retention_bytes`` based on expected data volume and cluster size.
.. caution:: Ensure that the Kafka broker settings ``persistence_size``, ``log_retention_hours``, and ``log_retention_bytes`` are configured based on your data retention requirements. If the persistent volume reaches its capacity before logs are deleted according to the log retention period configured, Kafka brokers may run out of disk space. For more details on managing Kafka log retention and cleanup policies, see `Managing Kafka logs with delete and compact policies <https://strimzi.io/docs/operators/in-development/deploying#managing_kafka_logs_with_delete_and_compact_policies>`_."
telemetry_sinks > ``kafka`` > ``log_retention_hours``,Conditional Mandatory,"* Log retention period in hours
* **Default**: 168 (7 days)"
telemetry_sinks > ``kafka`` > ``log_retention_bytes``,Conditional Mandatory,"* Maximum size of Kafka logs (in bytes) before deletion
* **Default**: -1 (unlimited)"
telemetry_sinks > ``kafka`` > ``log_segment_bytes``,Conditional Mandatory,"* Maximum size of Kafka log segments (in bytes)
* **Default**: 1073741824 (1 GB)"
telemetry_sinks > ``kafka`` > ``topic_partitions``,Conditional Mandatory,"* Topic partitions per source (object format, not array)
* Format: {topic_name: partition_count}
* **Required when**: Source has kafka in collection_targets
* **Allowed topics**: ``idrac``, ``ldms`` only
* **Default partition counts**: ``idrac=1``, ``ldms=2``
* **Example**: {idrac: 1, ldms: 2}"
ldms_configurations > ``agg_port``,Conditional Mandatory,"* Aggregator port on service K8s cluster
* **Valid range**: 6001-6100
* **Default**: 6001"
ldms_configurations > ``store_port``,Conditional Mandatory,"* Store daemon port on service K8s cluster
* The port can be the same as LDMS aggregator port
* **Valid range**: 6001-6100
* **Default**: 6001"
ldms_configurations > ``sampler_port``,Conditional Mandatory,"* Sampler port on compute nodes
* **Valid range**: 10001-10100
* **Default**: 10001"
ldms_configurations > ``sampler_plugins``,Mandatory,"* Sampler plugins define which metrics to collect from compute nodes
* **Parameters**:
    * plugin_name: Name of the LDMS sampler plugin
    * config_parameters: Plugin-specific configuration (as a single string)
    * activation_parameters: Collection schedule in MICROSECONDS
        Format: ``interval=<microseconds> offset=<microseconds>``
        Example: ``interval=30000000`` (30 seconds)
* **Default plugins**:
    * ``meminfo``: Memory usage statistics (free, used, buffers, cached)
    * ``procstat2``: Process statistics (CPU, memory, I/O per process)
    * ``vmstat``: Virtual memory statistics (paging, swapping, memory pressure)
    * ``loadavg``: System load average (1, 5, and 15 minute averages)
    * ``procnetdev2``: Network interface statistics (bytes, packets, errors, drops per interface)
* **Default activation_parameters**: ``interval=30000000`` (30 seconds for all plugins except procnetdev2 which includes offset=0)"
powerscale_configurations > ``otel_collector_storage_size``,Conditional Mandatory,"* PVC size for OTEL Collector metric batching and buffering
* **Accepted values**: Must be specified in the form of ``X[Ki|Mi|Gi|Ti|Pi|Ei]``
* **Default value**: ``5Gi``"
powerscale_configurations > ``csm_observability_values_file_path``,Conditional Mandatory,"* Path to the CSM Observability (Karavi Observability) values.yaml file
* **Required when**: telemetry_sources > powerscale > metrics_enabled: true
* **Reference**: https://raw.githubusercontent.com/dell/helm-charts/refs/heads/release-v1.16.3/charts/karavi-observability/values.yaml
* **Default value**: ``""``
* **Note**: In the values.yaml file, only set ``karaviMetricsPowerscale > enabled: true``. All other parameters should be set to ``false``.
* **Health Metrics**: For CSI PowerScale health metrics, enable ``controller > healthMonitor > enabled: true`` and ``node > healthMonitor > enabled: true`` in the CSI PowerScale values.yaml (https://raw.githubusercontent.com/dell/helm-charts/csi-isilon-2.15.0/charts/csi-isilon/values.yaml)."
ufm_configuration > ``ufm_endpoint``,Conditional Mandatory,"* UFM appliance IP address or hostname
* **Required when**: telemetry_sources > ufm > metrics_enabled is true
* **Example**: ``172.20.44.180`` or ``ufm.example.com``
* **Default value**: ``""``"
ufm_configuration > ``ufm_metrics_port``,Optional,"* UFM Prometheus exporter port
* **Default value**: 9001 (UFM default Prometheus port)"
ufm_configuration > ``scrape_interval``,Optional,"* Prometheus scrape interval for UFM metrics
* **Accepted values**: Prometheus duration format (e.g., ``15s``, ``30s``, ``1m``)
* **Default value**: ``30s``"
ufm_configuration > ``scrape_timeout``,Optional,"* Prometheus scrape timeout (must be <= scrape_interval)
* **Accepted values**: Prometheus duration format (e.g., ``10s``, ``15s``)
* **Default value**: ``15s``"
ufm_configuration > ``tls_mode``,Optional,"* TLS mode for connecting to UFM Prometheus endpoint
* **Accepted values**: ``self_signed``, ``ca_signed``
* **self_signed**: Skip TLS verification (insecure_skip_verify=true)
* **ca_signed**: Use CA certificate for TLS verification
* **Default value**: ``self_signed``"
ufm_configuration > ``ufm_ca_cert_path``,Optional,"* Path to CA certificate file for UFM TLS verification
* **Required when**: tls_mode is ``ca_signed``
* Must be a valid PEM-format certificate file
* **Default value**: ``""`` (empty — not used when tls_mode is ``self_signed``)"
ufm_configuration > ``auth_mode``,Optional,"* Authentication mode for UFM Prometheus endpoint
* **Accepted values**: ``basic``, ``none``
* **basic**: Use ufm_username/ufm_password from omnia_config_credentials.yml
* **none**: No authentication (UFM endpoint is open)
* **Default value**: ``basic``"
