"Parameter	",Mandatory/Optional,Details
telemetry_sources > ``idrac`` > ``metrics_enabled``,Mandatory,"* **Type**: Boolean
* Enable or disable iDRAC metrics collection from Dell PowerEdge servers
* **Collected metrics**: temperature, power, fan speed, storage health, CPU/memory errors
* **Data path**: 
    * iDRAC Receiver -> ActiveMQ -> KafkaPump ->  Kafka 'idrac' topic
    * iDRAC Receiver -> ActiveMQ ->  VictoriaPump -> vmagent -> victoria_metrics
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``true``

.. note:: If iDRAC telemetry is enabled, ``mysqldb_user``, ``mysqldb_password``, and ``mysqldb_root_password`` parameters in the ``omnia_config_credentials.yml`` file become mandatory. 

.. note::
   If you want to deploy only Slurm clusters (``slurm_custom``), set ``metrics_enabled`` to ``false``."
telemetry_sources > ``idrac`` > ``collection_targets``,Mandatory,"* Collection targets define where iDRAC data is sent before Vector processing
* **Supported values**: ``victoria_metrics``, ``kafka``
* **Multiple targets**: Can specify both [``victoria_metrics``, ``kafka``]
* **Default**: [``victoria_metrics``, ``kafka``]"
telemetry_sources > ``ldms`` > ``metrics_enabled``,Mandatory,"* **Type**: Boolean
* Enable or disable LDMS metrics collection from compute nodes
* **Collected metrics**: CPU, memory, network, disk metrics
* **Data path**: LDMS samplers → LDMS aggregator → store_avro_kafka → Kafka 'ldms' topic
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``true``"
telemetry_sources > ``ldms`` > ``collection_targets``,Mandatory,"* LDMS only supports Kafka collection (no direct victoria_metrics path)
* Vector-LDMS bridge consumes from Kafka and routes to victoria_metrics
* **Supported values**: ``kafka``
* **Default**: [``kafka``]"
telemetry_sources > ``dcgm`` > ``metrics_enabled``,Optional,"* **Type**: Boolean
* Enable or disable DCGM (NVIDIA Data Center GPU Manager) metrics collection
* **Collected metrics**: GPU temperature, utilization, memory, ECC errors, power
* **Requires**: NVIDIA GPU driver installed on compute nodes
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``true``"
telemetry_sources > ``powerscale`` > ``metrics_enabled``,Optional,"* **Type**: Boolean
* Enable or disable PowerScale metrics collection from Dell PowerScale (OneFS) storage
* **Collected metrics**: Storage metrics from Dell PowerScale clusters
* **Requires**: CSM Observability (Karavi) values file configured
* **Data path**: CSM Metrics PowerScale → OTEL Collector → vmagent(shared) → victoria_metrics
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``true``"
telemetry_sources > ``powerscale`` > ``logs_enabled``,Optional,"* **Type**: Boolean
* Enable or disable PowerScale logs collection
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``true``"
telemetry_sources > ``powerscale`` > ``collection_targets``,Conditional Mandatory,"* PowerScale uses dedicated vmagent(shared) (no Kafka, no Vector)
* **Supported values**: ``victoria_metrics``, ``victoria_logs``
* **Default**: [``victoria_metrics``, ``victoria_logs``]"
telemetry_sources > ``ufm`` > ``metrics_enabled``,Optional,"* **Type**: Boolean
* Enable or disable UFM (NVIDIA UFM InfiniBand Fabric Manager) metrics collection
* **Collected metrics**: IB port state, transmit/receive data, error counters, fabric topology
* **Requires**: NVIDIA UFM appliance with Prometheus exporter enabled
* **Data path**: UFM Prometheus Exporter → vmagent(shared) → victoria_metrics
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``false``"
telemetry_sources > ``ufm`` > ``logs_enabled``,Optional,"* **Type**: Boolean
* Enable or disable UFM syslog logs collection
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``false``"
telemetry_sources > ``ufm`` > ``collection_targets``,Conditional Mandatory,"* UFM uses vmagent(shared) for metrics and VLAgent for logs
* **Supported values**: ``victoria_metrics``, ``victoria_logs``
* **Default**: [``victoria_metrics``, ``victoria_logs``]"
telemetry_bridges > ``vector_ldms`` > ``metrics_enabled``,Optional,"* **Type**: Boolean
* Enable or disable Vector-LDMS bridge (Kafka-to-victoria_metrics bridge for LDMS metrics)
* **Purpose**: Consume LDMS metrics from Kafka 'ldms' topic, transform NERSC schema to Prometheus format, and write to victoria_metrics
* **Data flow**: Kafka 'ldms' topic → Vector-LDMS → vmagent-vector → victoria_metrics
* **Requires**: telemetry_sources > ldms > metrics_enabled = true
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``true``"
