Parameter,Details
"mounts

``List (dict)``

Mandatory","Configure mount points compatible with cloud-init mounts module. Source must be known at boot time (NFS paths, UUIDs, local devices). For runtime-discovered sources (iSCSI/multipath), use powervault_config section.

**Mandatory Fields:**

* **name**—Unique identifier for this mount entry. Pattern: [a-zA-Z0-9_-], length 1-64
* **source** - Device or network path. Mandatory
  * For NFS: server_ip:/export/path (e.g., 192.168.1.100:/export/share, nfs-server.example.com:/home)
  * For local: /dev/sdc, UUID=xxx, LABEL=xxx
  * For CIFS: //server/share
  * Note: NFS paths must be resolvable at boot time (use IP or DNS-resolvable hostname)
* **mount_point** - Absolute path for the mount point. Mandatory
  * Must be an absolute path starting with / (e.g., /home, /mnt/vast, /opt/data)
  * Avoid system directories (/etc, /sys, /proc, /boot, /root, /tmp)
  * Common patterns: /mnt/*, /opt/*, /home, /var/lib/*
  * Note: Path must be unique across all mount entries

**Optional Fields:**

* **fs_type**—Filesystem type. Default: ""auto"". Choices: auto, ext2, ext3, ext4, xfs, nfs, nfs4, cifs, tmpfs, cephfs, vfat, ntfs, none, fuse.s3fs. If specified, takes PRIORITY over mount_params profile
* **mnt_opts**—Mount options string (e.g., defaults,noexec,nofail). If specified, takes PRIORITY over mount_params profile
* **dump_freq**—Dump frequency. Default: ""0"". Allowed values: ""0""-""2"". If specified, takes PRIORITY over mount_params profile
* **fsck_pass**—Fsck pass number. Default: ""0"". Allowed values: ""0""-""9"". If specified, takes PRIORITY over mount_params profile
* **mount_params**—Name of a profile in mount_params section. Used ONLY for fields not explicitly specified in the mount entry
* **mount_on_oim**—Boolean flag to mount on OIM (Omnia Image Management). Default: false. Ensure storage is network-accessible from OIM before enabling
* **permissions**—Directory ownership and mode for the mount point (applied via chown + chmod after mount)
    * **owner**: User owner (name or numeric UID). Default: ""root""
    * **group**: Group owner (name or numeric GID). Default: ""root""
    * **mode**: Octal permission string (3-4 digits). Default: ""0755"". Examples: ""0755"", ""1777""

**Node-Specific Bind Mounts (paired parameters):**

* **node_key**—Per-node subdirectory isolation variable. Optional
  * Allowed values: 
    * ""local_hostname"" - hostname of the node
    * ""local_ipv4"" - IPv4 address of the node
    * ""instance_id"" - instance ID of the node from cloud-init
  * Default: ""local_hostname""
  * When set, node_mount_point is MANDATORY
  * Generates bind mounts: <mount_point>/<node_key_value>/<target> -> <target>
* **node_mount_point**—List of bind mount target paths. Mandatory when node_key is set. Minimum 1 entry, values must be unique absolute paths. Pattern: <mount_point>/<node_key_value>/<target_stripped_slash> -> <target>

**Node Targeting (exactly ONE is required - mutually exclusive):**

* **functional_group_prefix**—List of functional group name prefixes. All nodes whose group name starts with any listed prefix receive this mount. Example: [""slurm""] matches slurm_control_node, slurm_node, etc. MUTUALLY EXCLUSIVE with groups
* **groups**—List of GROUP_NAME values from pxe_mapping_file.csv. Only nodes assigned to the listed PXE groups receive this mount. Example: [""grp1"", ""grp2""] targets only nodes in those groups. MUTUALLY EXCLUSIVE with functional_group_prefix"
"mount_params

``dict``

Optional","Named default profiles for mount configurations. Profiles are referenced by name from mount entries via the mount_params field.

**Mandatory Profile Fields:**

* **fs_type**—Default filesystem type. Choices: auto, ext2, ext3, ext4, xfs, nfs, nfs4, cifs, tmpfs, cephfs, vfat, ntfs, none, fuse.s3fs
* **mnt_opts**—Default mount options string (comma-separated)

**Optional Profile Fields:**

* **dump_freq**—Default dump frequency. Allowed values: ""0""-""2""
* **fsck_pass**—Default fsck pass number. Allowed values: ""0""-""9""

**Predefined Profiles:**

* **nfs_default**—Default NFS mount
    * **fs_type**: ""nfs""
    * **mnt_opts**: ""nosuid,rw,sync,hard""
    * **dump_freq**: ""0""
    * **fsck_pass**: ""0""
* **vast_rdma**—VAST NFS with RDMA configuration over InfiniBand
    * **fs_type**: ""nfs""
    * **mnt_opts**: ""proto=rdma,nconnect=8,timeo=600,retrans=2,rsize=1048576,wsize=1048576,hard""
* **vast_tcp**—VAST NFS storage with standard TCP configuration
    * **fs_type**: ""nfs""
    * **mnt_opts**: ""nosuid,rw,sync,hard"""
"powervault_config

``List (dict)``

Optional","PowerVault iSCSI storage configuration. Processed entirely via runcmd script (setup_iscsi_storage.sh). The device path (/dev/mapper/XXX) is only known after iSCSI login + multipath scan, so powervault mounts CANNOT use the cloud-init mounts module. The runcmd script handles: iscsid enable, initiator name, discovery, login, multipathd, volume_id matching, partitioning, formatting, mount, and bind mounts. NOTE: The groups field is NOT supported for powervault_config entries. Only functional_group_prefix is available for node targeting.

**Mandatory Fields:**

* **name**—Unique identifier for this PowerVault entry. Pattern: [a-zA-Z0-9_-], length 1-64
* **ip**—List of PowerVault controller IPv4 addresses for iSCSI discovery. Minimum 1 address, values must be unique
* **iscsi_initiator**—iSCSI initiator IQN for the host. Pattern: iqn.<date>.<domain>:<identifier>
* **volume_id**—Volume WWN/identifier for multipath device matching. Pattern: hex string [a-fA-F0-9]+
* **mount_point**—Absolute path where the discovered device gets mounted
* **functional_group_prefix**—List of OpenCHAMI functional group name prefixes. All nodes whose group name starts with any listed prefix receive this entry

**Optional Fields:**

* **port**—TCP port for iSCSI target service. Default: 3260. Range: 1-65535
* **fs_type**—Filesystem type. Default: ""xfs"". Choices: xfs, ext4, ext3, ext2, nfs, nfs4, cifs, ntfs, auto. If specified, takes PRIORITY over mount_params profile
* **mnt_opts**—Mount options string. If specified, takes PRIORITY over mount_params profile
* **dump_freq**—Dump frequency. Default: ""0"". Allowed values: ""0""-""2""
* **fsck_pass**—Fsck pass number. Default: ""0"". Allowed values: ""0""-""9""
* **mount_params**—Named profile key from mount_params section

**Node-Specific Bind Mounts (paired parameters):**

* **node_key**—Per-node subdirectory isolation variable. Choices: ""local_hostname"", ""local_ipv4"", ""instance_id"". Default: ""local_hostname"". When set, node_mount_point is MANDATORY. When node_key is specified, fs_type is forced to ""none"" and mnt_opts is forced to ""bind"" regardless of user input
* **node_mount_point**—List of bind mount target paths. Mandatory when node_key is set. Pattern: <mount_point>/<node_key_value>/<target_stripped_slash> -> <target>

**Permissions (optional sub-object, applied via chown + chmod after mount):**

* **permissions.owner**—User owner (name or UID). Default: ""root""
* **permissions.group**—Group owner (name or GID). Default: ""root""
* **permissions.mode**—Octal permission string (3-4 digits). Default: ""0755"""
